id,name,mean,asco,username,confirm,likes,rating,total_rate
87,Soar,המריא,"המטוס המריא , הוא נמצא ממש (so) באוויר(air)",יקיר,1,0,0.0,0
89,Soil,אדמה,(has-s-יש) בתוך האדמה יש(has) נפט (oil),יקיר,1,0,0.0,0
90,Revenue,"הכנסה , רווח",Even(אבן) nue(נשמע כמו new חדש) : היה לו רווח יפה מהאבן היקרה החדשה שהוא מכר,יקיר,1,0,0.0,0
91,Retain,להחזיק,"Ret(נשמע כמו רטט), ain (אין) - &quot;לטלפון אין צלצול רק רטט אז הוא מחזיק אותו ביד(להרגיש אם יש שיחה)&quot;",יקיר,1,0,0.0,0
92,Scatter,לפזר,מורכב מhas) s = יש לו) וcatter(כתר): &quot;בעל הכתר(המלך) פיזר את הפרלמנט&quot;,יקיר,1,0,0.0,0
93,Specify,לפרט,המילה נשמעת בדיוק כמו המילה ספציפי - דהיינו להיות ספציפי ולפרט,יקיר,1,0,0.0,0
95,Manuscript,כתב יד (יצירה ספרותית),המילה מורכבת מmanual (ידני) וscript (קוד / כתב) - כתב יד,יקיר,1,0,0.0,0
96,Scholar,"מלומד, משכיל",מזכירה את המילה school (בית ספר) - הוא מלומד ומשכיל כי הוא הלך לבית הספר ,יקיר,1,0,0.0,0
97,Irrigation,השקיה,Irr(נשמע כמו עירוי) ו- gation(נשמע כמו גשם) : אלוקים עירה גשם ולכן השדה לא הייתה צריכה השקיה,יקיר,1,0,0.0,0
98,Question,להטיל ספק,"Question=שאלה. אם אתה שואל שאלה על משהו, סימן שאתה מטיל בו ספק.",מעין,1,0,0.0,0
99,Reject,לדחות,"כשמקבלים ריג'קטים במסדר בצבא, צריך לעשות מסדר נוסף- כלומר, זה דוחה את תום המסדר. ",מעין,1,0,0.0,0
100,Just,"צודק, הוגן",Justice=צדק. לכן just=צודק.,מעין,1,0,0.0,0
101,Last,"המשיך, החזיק מעמד","הוא הגיע לעמוד האחרון (last=אחרון) בספר, אבל לא התייאש ולא הפסיק לקרוא. הוא המשיך, הוא החזיק מעמד. ",מעין,1,0,0.0,0
102,Last,להחזיק מעמד,לחובבי ההיאבקות - &quot;last man standing&quot; - הוא קרב שהמפסיד בו לא מחזיק מעמד ומתמוטט לרצפה ,יקיר,1,0,0.0,0
104,Restore,"לשקם , לשחזר",במסעדה(restaurant) לא משקמים מנות שלקוחות החזירו אלא חייבים לזרוק לפח .,שני,1,0,0.0,0
105,Uprising,"מרד, התקוממות",עלייה(rising) על היושב למעלה(up) - כלומר היושב למעלה הוא מנהיג המדינה והעם החליט &quot;לעלות מעליו&quot; וללהתקומם נגדו,יקיר,1,0,0.0,0
106,Audit,ביקורת,אודית כל הזמן מעבירה ביקורת ,שני,1,0,0.0,0
107,Appeal,"לערער, משיכה",כשהיא דומה לפיל היא מערערת את המשיכה אליה,שני,1,0,0.0,0
108,Unite,לאחד,להפוך משהו לדבר אחד (uno - אחד בספרדית / unit - יחידה באנגלית),יקיר,1,0,0.0,0
109,Underlies,הונח ביסוד,"Under(מתחת), lie (שכב) - על מה הוא &quot;שוכב&quot; , מה יש מתחתיו - כלומר מה היסוד שלו",יקיר,1,0,0.0,0
110,Hazard,סכנה,אדן האזרד (שחקן כדורגל) פורץ לרחבה יש סכנה,לידור ,1,0,0.0,0
113,Remediation,"תיקון, ריפוי",רמדיה מתקן את המצב אם אין לאמא חלב אם,סיגלית,1,0,0.0,0
115,Attain,להשיג,אתן(atain) הכל בשביל להשיג את מה שאני רוצה,יקיר,1,0,0.0,0
116,Accumulate,"אסף , צבר","אם לא אקום(accum) בזמן , אצבור הרבה איחורים(late)",יקיר,1,0,0.0,0
117,Mild,עדין,Mild(נשמע כמו מיילד) - המיילד חייב להיות עדין בעת הוצאת הולד,יקיר,1,0,0.0,0
118,Retrieve,להשיב,המילה מורכבת מretro(משהו שהיה בעבר וחזר להווה) ו receive(לקבל) - &quot;להשיב לקבל משהו שהיה לך בעבר&quot;,יקיר,1,0,0.0,0
119,Sheer,שקוף,"כשעדן חסון מוציא שיר חדש, &quot;שקוף&quot; שזה יהיה להיט",יקיר,1,0,0.0,0
120,Submit,להיכנע,Sub(תחילית שמשמעותה מתחת) - הוא שם אותו מתחתיו(פיזית) ואיים להמית(mit) אותו אז הוא נכנע,יקיר,1,0,0.0,0
121,Submit,להיכנע,"צורת הפועל של submission - שכל חובבי ההיאבקות , MMA וכו' מכירים",יקיר,1,0,0.0,0
122,Superficial,שטחי,"Super(תחילית שמשמעותה מעל) , ficial(נשמע כמו face) - &quot;אין לו משהו מעל פנים יפות , הוא בחור שטחי&quot;",יקיר,1,0,0.0,0
123,Poll,"סקר, הצבעה","על פי סקרי בחירות , אפשר לדעת איזה מפלגה תיפול(poll)",יקיר,1,0,0.0,0
124,Qualify,לקבל הסמכה,מזכיר את המילה quality( איכות) - רק מי שבעל איכות גבוהה יכול לקבל הסמכה,יקיר,1,0,0.0,0
125,Staple,מהדק,"אם אין לך מסקינג טייפ(tape = סרט הדבקה) , תשמש במהדק במקום.",יקיר,1,0,0.0,0
126,Tormented,לייסר,"התור(tor) לשירותי הגברים(men) מייסר אותי , אני לא יכול להתאפק יותר !",יקיר,1,0,0.0,0
127,Sustain,להמשיך באותה צורה,הסוס(sus) המשיך באותה צורה לתת(tain) לו אהבה,יקיר,1,0,0.0,0
128,Asist,לעזור,בכדורגל מי שנותן אסיסט(asist) עוזר להבקיע גול,יקיר,1,0,0.0,0
129,Vigorously,במרץ,טקטיקת המשחק של קבוצת הכדורגל &quot;סלטה ויגו&quot; (vigo) היא ללחוץ במרץ על שחקני היריבה,יקיר,1,0,0.0,0
130,Ward,מחלקה,בצבא - הגוף הלוחם במלחמות(war) יש מחלקות,יקיר,1,0,0.0,0
131,Withhold,לעכב,הוא &quot;החזיק&quot;(hold) אותי איתו (with) שעה ארוכה - הוא עיכב אותי,יקיר,1,0,0.0,0
132,Worthy,ראוי,"Worth(שווה) - הוא שווה את זה , הוא ראוי לזה",יקיר,1,0,0.0,0
133,Avert,"הסיט, הזיז",הדוגמנית עוברת (avert) הוא הסיט את מבטו אליה,יקיר,1,0,0.0,0
134,Comply,לציית,המחשב (comp) שלי (ly) מציית לי ועושה את כל מה שאני דורש,יקיר,1,0,0.0,0
135,Adverse,שלילי,נשמע כמו adverts(מודעה/פרסומת) - גם פרסום שלילי הוא פרסום טוב לדעת משווקים רבים,יקיר,1,0,0.0,0
136,Antibody,נוגדן,ניגוד של הגוף,יקיר,1,0,0.0,0
137,Solicit,לשדל,"נשמע כמו so להסית , כמו להסיט כל כך - לשדל",יקיר,1,0,0.0,0
138,Wage,לנהל,הציעו לו לנהל ובתמורה לכך שדרוג בשכר(wage),יקיר,1,0,0.0,0
139,Consultant,יועץ,Consultant נשמע בעברית כמו כן סולטן . היועץ לסולטן אמר כן סולטן,לידור,1,0,0.0,0
140,Bitter,"מר, מריר",אבי ביטר הוא אדם מריר ,עדן ,1,0,0.0,0
141,Assemble,"לאסוף, להרכיב",לפני ניתוח אוספים את האזמל ומרכיבים את האיברים,עדן,1,0,0.0,0
143,Accommodate,"לאכסן, לשכן (לתת מקום מגורים)","בתאריך(date) הזה לפני שנה ,הוא הבטיח לי שאקום(accom) מהרחוב והוא ישכן אותי בביתו",יקיר,1,0,0.0,0
144,Accompany,ללוות,ללוות זה לתת למישהו חברה(company),יקיר,1,0,0.0,0
145,Custom,מנהג,"יש לנו מנהג , מי שבא לקלל &quot;כוססס..&quot; (cus) אומרים לו &quot;סתום!!&quot; (stom)",יקיר,1,0,0.0,0
146,Accustomed,מורגל ,Custom - זה מנהג (יש אסוציאציה באתר) - מנהג זה משהו שכולם מורגלים אליו,יקיר,1,0,0.0,0
147,Agriculture,חקלאות,אני מסכים(agree) שישתמשו לי בקלטרת (כלי עבודה חקלאי המשמש לעיבוד אדמה) כי אני אוהב חקלאות.,יקיר,1,0,0.0,0
148,Mass,המון,שמישהו עושה &quot;מסה&quot; (תהליך עלייה במשקל) - נהיים לו המון שרירים,יקיר,1,0,0.0,0
149,Amass,"לצבור, לערום",הוא צבר המון קלוריות מאז התחיל לעשות &quot;מסה&quot;,יקיר,1,0,0.0,0
150,Appeal,לבקש,הוא ביקש ג'ירפה ואף(aph) פיל(peal),יקיר,1,0,0.0,0
152,Custom,מנהג,צריך לסתום(stom) כאשר עושים את המנהג של הכוס(cus) בחתונה,יקיר,1,0,0.0,0
157,Preserve,לשמר,"חברת &quot;תנובה&quot; מגישה(serve) לנו מוצר חדש , פרי (pre) משומר",יקיר,1,0,0.0,0
158,Parallel,מקביל,ההודים קוראים הלל(allel) לפרה(para) כי הם מקבילים(מדמים) אותה לאל,יקיר,1,0,0.0,0
159,Acute,חד,המילה כוללת את המילה cut (חתך) - חותכים דברים באמצעות משהו חד,יקיר,1,0,0.0,0
160,Disorder,הפרעה,"Dis - תחילית אי , order - סדר - הפרעה היא אי-סדר ",יקיר,1,0,0.0,0
161,Massacre,טבח (הרג המוני),"בטבח, הרוצח עקר(acre) המון(mass) אנשים ממשפחותיהם",יקיר,1,0,0.0,0
162,Arousing,מעורר,"לשיר(sing) גורם לי להיות ער(ar) , זה מעורר אותי",יקיר,1,0,0.0,0
163,Aspiration,"שאיפה, חלום","החלום והשאיפה של כל אחד להיות בריא תמיד, שאפילו אספירין לא יקח כל ימיו .",יקיר,1,0,0.0,0
164,Bank,לערום,בבנק אפשר לערום את הכספים שלנו,יקיר,1,0,0.0,0
165,Cargo,מטען,מטען הוא אוסף סחורות שכלי רכב(car) מוליכים(go),יקיר,1,0,0.0,0
167,Cemetery,בית קברות,מורכב מmet(מת) ו -ery(אזור = area) - &quot;בית קברות הוא אזור בו יש מתים&quot;,יקיר,1,0,0.0,0
168,Circulate,לנוע במחזוריות,"מהמילה circle(מעגל) , לנוע במעגל ,לנוע במחזוריות",יקיר,1,0,0.0,0
170,Collision,התנגשות,היה קול(coll) של שבר בשן(sion) כאשר התנגשתי בעמוד,יקיר,1,0,0.0,0
171,Contrast,"ניגוד, להוות ניגוד","לתת למישהו קונטרה , סוג של כח מנוגד ",יקיר,1,0,0.0,0
172,Elude,להתחמק,הפושע התחמק אל לוד (el-lude),דפנה,1,0,0.0,0
173,Delude,להשלות,"Delusion זה אשליה, אז דליוד זה להשלות ",דפנה,1,0,0.0,0
174,Devoid of,"חסר,נטול,משולל","מי שנוטה ל avoid (להמנע) מלהפגש עם חברים, יהיה devoid-חסר,נטול- חיי חברה",דפנה,1,0,0.0,0
175,Affluent,"שׁוֹפֵעַ, עַתִּיר, עָשִׁיר",למי שיש flu (שפעת) ה aff שלו שופע נזלת,דפנה,1,0,0.0,0
176,Prominent,"בולט,חשוב,ידוע","ל prom הגיעה Ninet נינט, הלא היא זמרת ידועה ובולטת",דפנה,1,0,0.0,0
181,Commendably,באופן ראוי לשבח,"המילה דומה לrecommend(להמליץ) ובתוספת ably(באופן) - באופן מומלץ , ראוי לשבח",יקיר,1,0,0.0,0
182,Crack,סדק,כשמורידים crack.exe למשחק - הוא מוצא &quot;סדק&quot; מסויים במשחק ופורץ אותו,יקיר,1,0,0.0,0
183,Crave,להשתוקק,מקגרגור השתוקק לקרב נוסף מול חביב נורמגומדוב ,יקיר,1,0,0.0,0
184,Curse,לקלל,מזכיר קצת התחלה של קללה (המבין יבין),יקיר,1,0,0.0,0
185,Decease,"מת , נפטר",דומה גם בכתיבה ובעיקר בשמיעה למילה disease (מחלה) - &quot;הוא מת מהמחלה&quot;,יקיר,1,0,0.0,0
186,Delusions,"הזיות , אשליות",כשאומרים על מישהו שהוא &quot; חי באילוז' &quot; - הכוונה שהוא חי באשליה (delusions / illusion),יקיר,1,0,0.0,0
187,Destructive,הרסני,מהמילה destroy (להרוס),יקיר,1,0,0.0,0
189,Destructive,הרסני,"Struct - היא שורש של מילה הקשורה למבנים , תחילית de היא שלילה -לכן פירוש המילה הוא משהו ששולל מבנים , הרסני",יקיר,1,0,0.0,0
190,Devise,"להמציא , לתכנן",דומה למילה device (מכשיר) - &quot; סטיב גוב'ס המציא את מכשיר האייפון &quot; ,יקיר,1,0,0.0,0
191,Devise,"להמציא, להתכנן",מורכב מ- vise (מזכירה את המילה vision = חזון) וde (נשמע כמו the) - &quot;החזון שלו להמציא משהו מראה כמה הוא נחוש&quot;,יקיר,1,0,0.0,0
192,Regard,להתייחס,מורכב מהמילים rega(רגע) וard (קשה = hard) - &quot;חבר אמיתי מתייחס אליך ברגעים הקשים&quot;,יקיר,1,0,0.0,0
193,Disregard,להתעלם,"Dis ( תחילית שמציינת היפוך וניגוד) , regard (להתייחס) - לכן חוסר התייחסות = התעלמות",יקיר,1,0,0.0,0
194,Certify,לאשר,"מזכיר את המילה certain(בטוח) , לאשר זה לעשות משהו בטוח - &quot;הדבר היה ספק אבל הוא אישר אותו ועכשיו זה בטוח&quot;",יקיר,1,0,0.0,0
195,Circulate,להפיץ,אם תיקח משהו ותשים אותו על דבר שנע במעגליות(circulate) הוא יופץ לכל עבר,יקיר,1,0,0.0,0
196,Companion,בן זוג,נגזר מהמילה company (חברה) - &quot;מי שמארח לך חברה תמיד - הבן זוג&quot;,יקיר,1,0,0.0,0
197,Crude,"גולמי, גס (לא מעובד)",מזכיר את המילה rude - גס רוח (יש אסוציאציה באתר לrude) - לכן מזכיר לי &quot;גס&quot; במשמעות &quot;לא מעובד&quot;,יקיר,1,0,0.0,0
198,Rude,גס רוח,לריהאנה יש שיר rude boy שמדבר על בחור גס רוח וחסר נימוסים,יקיר,1,0,0.0,0
201,Suffocate,לחנוק,קייט(cate) חנקה אותה עד הסוף(suff) ,נועה לין,1,0,0.0,0
202,Enterprise,"מפעל, יוזמה",המפעל שהמציא את מקש האנטר(enter) זכה בפרס(prise) על היוזמה,שני,1,0,0.0,0
203,Compensate,לפצות,סט(sate) העטים(pen) שקניתי עקומים(com) ולכן המוכר פיצה אותי,יקיר,1,0,0.0,0
204,Compile,"לאסוף, לקבץ",הפיל(pile) אוהב לקום(com) ולאסוף ענפים לאכילה,יקיר,1,0,0.0,0
205,Conceal,להסתיר,יש להסתיר כלבי ים(seal) ולמנוע קשר(connect) עם בני אדם כדי שלא יצודו אותם,יקיר,1,0,0.0,0
206,Conceive,להרהר,Con (להתחבר = connect) ו- ceive(סיב) - הוא הרהר האם להתחבר לסיב אופטי,יקיר,1,0,0.0,0
208,Concerted,מתואם,בקונצרט(concert) חייב להיות תיאום בין הנגנים ,יקיר,1,0,0.0,0
209,Concur,להסכים,המדינות יסכימו להסיר את סנקציות עם איראן לא תחבר(con - connect) כור(cur),יקיר,1,0,0.0,0
210,Concurrence,להתחרש בו זמנית,Con(תחילית שפירושה יחד) current(נוכחי) - להתרחש בו זמנית פירושה דבר נוכחי (שקורה עכשיו )שמתחרש יחד עם דבר נוכחי ,יקיר,1,0,0.0,0
211,Condemned,לגנות,משרד הבריאות מגנה את מי שלא משתמש בקונדום(condom דומה לcondemned),יקיר,1,0,0.0,0
212,Condemned,לגנות,יש לגנות כל מי שמקלל ואומר לעזאזל (damn פירושה &quot;לעזאזל&quot;),יקיר,1,0,0.0,0
214,Applicant,מועמד,אפל(apple) לא יכולה(cant) לקבל את כל המועמדים שלה,יקיר,1,0,0.0,0
215,Gun,רובה,אסור להביא רובה לגן ,שני ,1,0,0.0,0
216,Confine,להגביל,איציק קורנפיין(שוער כדורגל) הגביל את השער ולא נתן לכדור להיכנס,יקיר,1,0,0.0,0
217,Confinement,"מאסר, ריתוק",מאסר זה להגביל(confine - יש אסוציאציה באתר) את החופש של מישהו,יקיר,1,0,0.0,0
218,Conform,להתאים,Con(תחילית עם) from (צורה/תבנית) - להתאים זה לשלב את הצורה עם התבנית,יקיר,1,0,0.0,0
219,Controversial,שנוי במחלוקת,מורכב מהמילים contra(ניגוד) ו-versia(גרסא) - דבר שנוי במחלוקת הוא דבר שיש לו גרסאות מנוגדות,יקיר,1,0,0.0,0
220,Debate,ויכוח,הוא אמר לה &quot;את(ate) דבה(deba)&quot; ולכן פרץ ויכוח,יקיר,1,0,0.0,0
222,Splendid,"נהדר, מפואר",המעדן ספלנדיד נהדר ,רוני,1,0,0.0,0
223,Collapse,התמוטטות,"נשמע כמו קליפס - קליפסים שתמיד מתמוטטים, נהרסים תוך מספר שימושים.",ירדן,1,0,0.0,0
224,Conceive,"להתעבר, להרות",Con(יכול להישמע כמו son = בן) וceive(קיצור של recieve = לקבל) - להרות זה לקבל בן,יקיר,1,0,0.0,0
225,Deliberate,מכוון,אני שונא(ate) להזמין מהם משלוח(delive ◄ deliber) כי הזמן שלהם אף פעם לא מכוון,יקיר,1,0,0.0,0
226,Denial,הכחשה,"כל מה שאמרתי כנגדה , דני(deni) אמרה אל(al) תאמינו - היא הכחישה הכל",יקיר,1,0,0.0,0
227,Desolate,הרוס,מהסולת(the-solate) אפשר להכין &quot;עוגת הריסה&quot;,יקיר,1,0,0.0,0
228,Desolate,הרוס,הסולת נוצרת כתוצאה מהריסה קלה של גרעין החיטה,יקיר,1,0,0.0,0
229,Detract,"להפחית, לגרוע","De (תחילית שמשמעות שלילה, לבטל) ◄ כדי להפחית את תאונות העבודה הוא החליט לבטל את הטרקטורים(tract)",יקיר,1,0,0.0,0
230,Confess,להודות,הוא התוודה - הסכים עם זה שהוא יצא אפס,יקיר,1,0,0.0,0
231,Deliberate,"לשקול, לבחון, לדון",הוא שונא(ate) לעשות משלוחים(deliver=deliver) כי בכל פעם צריך לבחון ולשקול האם יהיו לו פקקים בדרך,יקיר,1,0,0.0,0
